151,43612	9,76961E-4
153,78214	5,46173E-4
156,12727	1,28959E-4
158,47152	9,44164E-4
160,81489	0,00305
163,15738	0,0027
165,49899	0,00211
167,83971	0,00281
170,17956	0,0015
172,51852	-4.184696264220078336e-04
174,85661	5,34615E-4
177,19382	1,40167E-4
179,53015	0,00328
181,8656	0,00341
184,20018	0,00148
186,53387	3,4694E-5
188,86669	0,00376
191,19863	0,00464
193,5297	0,00677
195,85989	0,013
198,1892	0,01827
200,51764	0,02422
202,84521	0,03511
205,1719	0,04738
207,49771	0,06228
209,82265	0,07833
212,14672	0,09019
214,46992	0,1016
216,79224	0,11303
219,11369	0,11949
221,43427	0,12884
223,75398	0,13501
226,07281	0,13113
228,39078	0,12351
230,70787	0,10793
233,0241	0,09141
235,33945	0,07578
237,65394	0,0627
239,96756	0,045
242,2803	0,03004
244,59218	0,0179
246,9032	0,00912
249,21334	0,00415
251,52262	7,89747E-4
253,83103	5,33168E-4
256,13857	5,20757E-4
258,44525	8,67651E-4
260,75106	3,57194E-4
263,05601	-9.497416267729226654e-05
265,36009	-4.473468162198416566e-06
267,66331	0,00258
269,96566	0,00162
272,26715	0,00257
274,56778	0,00508
276,86754	0,00445
279,16644	0,00265
281,46448	0,00248
283,76166	0,00298
286,05797	0,00113
288,35342	0,00156
290,64801	8,38544E-5
292,94175	0,00166
295,23462	0,00141
297,52663	-4.237506216065609023e-04
299,81778	-7.721390063561222542e-05
302,10807	0,00125
304,39751	0,00146
306,68608	0,00108
308,9738	7,34891E-4
311,26066	0,00302
313,54666	0,00579
315,83181	0,00723
318,11609	0,00456
320,39953	0,00469
322,6821	0,00571
324,96382	0,00639
327,24469	0,00702
329,5247	0,00792
331,80386	0,00751
334,08216	0,00846
336,35961	0,00741
338,6362	0,00638
340,91195	0,00826
343,18684	0,00592
345,46087	0,00651
347,73406	0,00656
350,00639	0,00517
352,27788	0,00416
354,54851	0,00519
356,81829	0,00282
359,08722	0,00224
361,3553	0,00223
363,62253	0,00373
365,88892	0,00592
368,15445	0,00551
370,41914	0,00752
372,68297	0,00785
374,94596	0,00702
377,2081	0,01097
379,4694	0,01488
381,72985	0,01536
383,98945	0,01783
386,24821	0,02256
388,50612	0,02434
390,76319	0,02336
393,01941	0,02477
395,27478	0,0246
397,52932	0,02545
399,783	0,02719
402,03585	0,02936
404,28785	0,03769
406,53901	0,04277
408,78933	0,04407
411,0388	0,0419
413,28744	0,03687
415,53523	0,0329
417,78218	0,02956
420,02829	0,02728
422,27356	0,02306
424,51799	0,02094
426,76158	0,01928
429,00433	0,01672
431,24624	0,0169
433,48732	0,01761
435,72755	0,01845
437,96695	0,01829
440,20551	0,01775
442,44323	0,01724
444,68012	0,01579
446,91617	0,015
449,15138	0,01349
451,38576	0,01145
453,6193	0,01318
455,85201	0,01191
458,08388	0,00814
460,31492	0,00574
462,54512	0,00655
464,7745	0,00728
467,00303	0,00824
469,23074	0,0072
471,45761	0,00886
473,68365	0,00858
475,90886	0,00757
478,13323	0,0078
480,35678	0,00668
482,57949	0,00761
484,80137	0,00848
487,02243	0,00514
489,24265	0,00476
491,46204	0,00493
493,68061	0,00589
495,89834	0,00418
498,11525	0,00717
500,33133	0,00769
502,54658	0,00526
504,761	0,00552
506,9746	0,00515
509,18737	0,00531
511,39931	0,00514
513,61043	0,00287
515,82072	0,00114
518,03018	0,00323
520,23882	0,00298
522,44664	0,00299
524,65363	0,0059
526,8598	0,00669
529,06514	0,00663
531,26966	0,00844
533,47336	0,00969
535,67623	0,00955
537,87828	0,01157
540,07951	0,0122
542,27992	0,01281
544,47951	0,01215
546,67828	0,00999
548,87622	0,01026
551,07335	0,01272
553,26965	0,01067
555,46514	0,00853
557,6598	0,0087
559,85365	0,00944
562,04668	0,00868
564,23889	0,00724
566,43028	0,00769
568,62085	0,00811
570,81061	0,00911
572,99955	0,00911
575,18767	0,00941
577,37498	0,00778
579,56147	0,00711
581,74715	0,00385
583,93201	0,00194
586,11605	0,00297
588,29928	0,00372
590,4817	0,00313
592,6633	0,00264
594,84409	0,00383
597,02406	0,00118
599,20323	9,78891E-4
601,38158	0,00211
603,55911	0,00267
605,73584	0,00392
607,91175	0,00286
610,08686	0,00495
612,26115	0,00933
614,43463	0,01621
