# Mode: Color Science
# Date: 2026-03-13 12:08:39
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=88.65 Y=100.00 Z=89.02
# LAB: L*=100.00 a*=0.00 b*=0.00
# xy: x=0.3193 y=0.3601
Pixel,Wavelength,Intensity
0,268.942329,0.0677551
1,269.439017,0.06776
2,269.935693,0.0675344
3,270.432358,0.0687415
4,270.929011,0.0694585
5,271.425654,0.0659666
6,271.922285,0.0666795
7,272.418906,0.0657535
8,272.915515,0.0675516
9,273.412113,0.0640274
10,273.9087,0.0666941
11,274.405276,0.068654
12,274.901841,0.0668847
13,275.398395,0.0648746
14,275.894938,0.0663437
15,276.391471,0.0666545
16,276.887992,0.0642937
17,277.384503,0.0662074
18,277.881003,0.0652113
19,278.377492,0.0652221
20,278.87397,0.0659102
21,279.370438,0.0669258
22,279.866895,0.0668507
23,280.363342,0.06497
24,280.859777,0.0636155
25,281.356203,0.0646821
26,281.852617,0.0655734
27,282.349021,0.0652828
28,282.845415,0.063693
29,283.341798,0.0630322
30,283.838171,0.065607
31,284.334533,0.0686217
32,284.830885,0.069533
33,285.327227,0.067498
34,285.823558,0.0646899
35,286.319879,0.0634604
36,286.81619,0.0628021
37,287.312491,0.0628468
38,287.808781,0.064142
39,288.305062,0.0655033
40,288.801332,0.0662632
41,289.297592,0.066158
42,289.793842,0.0661728
43,290.290082,0.0644184
44,290.786312,0.0642718
45,291.282532,0.0650403
46,291.778742,0.0633384
47,292.274942,0.0644785
48,292.771132,0.0659126
49,293.267313,0.0665513
50,293.763483,0.0674842
51,294.259644,0.0644453
52,294.755795,0.0635049
53,295.251936,0.0680596
54,295.748068,0.0661316
55,296.24419,0.0640149
56,296.740302,0.066286
57,297.236405,0.0645731
58,297.732498,0.065098
59,298.228582,0.0658119
60,298.724656,0.0678816
61,299.22072,0.066111
62,299.716775,0.0647668
63,300.212821,0.0641336
64,300.708857,0.066089
65,301.204884,0.0677933
66,301.700902,0.0686111
67,302.19691,0.0682307
68,302.692909,0.0648373
69,303.188899,0.0639889
70,303.684879,0.0650049
71,304.18085,0.0650109
72,304.676813,0.0662268
73,305.172766,0.0655451
74,305.66871,0.0645982
75,306.164645,0.0647369
76,306.66057,0.0645161
77,307.156487,0.0636808
78,307.652395,0.067975
79,308.148294,0.066724
80,308.644184,0.0655581
81,309.140065,0.0640134
82,309.635937,0.068455
83,310.131801,0.0670577
84,310.627656,0.0647023
85,311.123502,0.0636913
86,311.619339,0.0648921
87,312.115167,0.0632266
88,312.610987,0.0647476
89,313.106798,0.0662198
90,313.602601,0.065611
91,314.098395,0.0651346
92,314.59418,0.0639397
93,315.089957,0.0641496
94,315.585726,0.0658919
95,316.081485,0.0678909
96,316.577237,0.0649619
97,317.07298,0.06602
98,317.568715,0.0667469
99,318.064441,0.0658056
100,318.560159,0.0634183
101,319.055869,0.0633641
102,319.551571,0.0652402
103,320.047264,0.0643592
104,320.54295,0.0647644
105,321.038627,0.0649966
106,321.534295,0.0642967
107,322.029956,0.0651777
108,322.525609,0.0661256
109,323.021254,0.0650635
110,323.516891,0.0663659
111,324.012519,0.0666051
112,324.50814,0.0640142
113,325.003753,0.064086
114,325.499358,0.0659956
115,325.994955,0.0658654
116,326.490544,0.0645843
117,326.986126,0.0638807
118,327.4817,0.0650997
119,327.977266,0.0646397
120,328.472824,0.0632454
121,328.968375,0.0641814
122,329.463918,0.0664389
123,329.959453,0.0642627
124,330.454981,0.0637369
125,330.950501,0.0635132
126,331.446014,0.0642495
127,331.941519,0.0648289
128,332.437017,0.0641711
129,332.932508,0.0632852
130,333.427991,0.0642062
131,333.923466,0.0654779
132,334.418935,0.0654341
133,334.914396,0.0644923
134,335.409849,0.0642294
135,335.905296,0.0659699
136,336.400735,0.0660897
137,336.896167,0.0652894
138,337.391592,0.0662012
139,337.88701,0.065534
140,338.38242,0.063667
141,338.877824,0.0640972
142,339.373221,0.0628995
143,339.86861,0.0628355
144,340.363993,0.0626242
145,340.859368,0.0640274
146,341.354737,0.0665617
147,341.850099,0.0651521
148,342.345454,0.06648
149,342.840802,0.0644736
150,343.336144,0.065101
151,343.831478,0.0664712
152,344.326806,0.0664094
153,344.822127,0.0677343
154,345.317442,0.0655374
155,345.81275,0.0628869
156,346.308051,0.0642568
157,346.803346,0.0635066
158,347.298634,0.0629993
159,347.793915,0.0629771
160,348.289191,0.0638083
161,348.784459,0.0650049
162,349.279721,0.0649034
163,349.774977,0.0646006
164,350.270227,0.0633173
165,350.76547,0.063783
166,351.260707,0.0670013
167,351.755937,0.064553
168,352.251162,0.0661578
169,352.74638,0.0658513
170,353.241592,0.0628218
171,353.736797,0.0638574
172,354.231997,0.0654936
173,354.72719,0.0665571
174,355.222378,0.0655161
175,355.717559,0.0646123
176,356.212735,0.0656412
177,356.707904,0.0641838
178,357.203068,0.0626449
179,357.698225,0.0649966
180,358.193377,0.0669131
181,358.688523,0.0643532
182,359.183663,0.064902
183,359.678797,0.0650853
184,360.173925,0.0671571
185,360.669048,0.0669646
186,361.164165,0.0637191
187,361.659276,0.0651589
188,362.154382,0.0638052
189,362.649482,0.0633576
190,363.144577,0.0655102
191,363.639666,0.0669948
192,364.134749,0.0651981
193,364.629827,0.0645782
194,365.1249,0.063842
195,365.619967,0.063783
196,366.115028,0.0628869
197,366.610085,0.0636651
198,367.105136,0.0648526
199,367.600181,0.0642206
200,368.095222,0.0654362
201,368.590257,0.066022
202,369.085287,0.0653393
203,369.580311,0.0644736
204,370.075331,0.0649586
205,370.570345,0.0650517
206,371.065355,0.0643858
207,371.560359,0.0640165
208,372.055358,0.0641903
209,372.550352,0.0643731
210,373.045342,0.0645161
211,373.540326,0.0641838
212,374.035305,0.0639933
213,374.53028,0.0645835
214,375.025249,0.0660522
215,375.520214,0.0649708
216,376.015174,0.0641326
217,376.510129,0.0635099
218,377.00508,0.0635024
219,377.500026,0.0612828
220,377.994967,0.0641531
221,378.489903,0.0647725
222,378.984835,0.0659241
223,379.479763,0.0667231
224,379.974685,0.0639369
225,380.469604,0.0638261
226,380.964517,0.06365
227,381.459427,0.0638563
228,381.954332,0.0646321
229,382.449232,0.0641076
230,382.944128,0.0646622
231,383.43902,0.0652017
232,383.933907,0.0646128
233,384.428791,0.0641979
234,384.923669,0.0634858
235,385.418544,0.0646853
236,385.913415,0.0658847
237,386.408281,0.063565
238,386.903143,0.0621033
239,387.398001,0.0624107
240,387.892855,0.0674912
241,388.387706,0.0632128
242,388.882552,0.0635887
243,389.377394,0.0654048
244,389.872232,0.0641982
245,390.367066,0.0630211
246,390.861896,0.0664197
247,391.356723,0.0663598
248,391.851545,0.0649696
249,392.346364,0.064605
250,392.841179,0.0643351
251,393.33599,0.0656364
252,393.830798,0.0642852
253,394.325602,0.0681004
254,394.820402,0.0656333
255,395.315199,0.0664602
256,395.809992,0.06691
257,396.304782,0.0662127
258,396.799568,0.0654829
259,397.29435,0.0672231
260,397.789129,0.0660207
261,398.283905,0.0628551
262,398.778677,0.06667
263,399.273446,0.0663329
264,399.768212,0.0650713
265,400.262974,0.0664712
266,400.757733,0.064162
267,401.252489,0.0639808
268,401.747241,0.0651445
269,402.24199,0.0672808
270,402.736736,0.0667828
271,403.231479,0.0660988
272,403.726219,0.0672247
273,404.220956,0.0706227
274,404.71569,0.0679168
275,405.210421,0.0681424
276,405.704798,0.0703269
277,406.1987,0.0701569
278,406.692465,0.0690409
279,407.186436,0.0674184
280,407.680951,0.0679374
281,408.176353,0.0696139
282,408.672431,0.0679101
283,409.168744,0.0676212
284,409.665286,0.0670693
285,410.162048,0.0690305
286,410.659022,0.0686314
287,411.156202,0.0688705
288,411.653579,0.0682429
289,412.151147,0.0679374
290,412.648896,0.0698856
291,413.146821,0.0695463
292,413.644912,0.0709657
293,414.143164,0.0703688
294,414.641567,0.0709311
295,415.140114,0.0711316
296,415.638799,0.0700391
297,416.137612,0.0709208
298,416.636548,0.0714755
299,417.135597,0.0733914
300,417.634753,0.0729162
301,418.134007,0.0731834
302,418.633353,0.071325
303,419.132783,0.0737025
304,419.632289,0.0719735
305,420.131863,0.0684638
306,420.631498,0.0714095
307,421.131186,0.0749119
308,421.630921,0.074236
309,422.130693,0.0741313
310,422.630496,0.0749583
311,423.130322,0.073741
312,423.630163,0.0757576
313,424.130012,0.076313
314,424.629861,0.0751496
315,425.129702,0.075608
316,425.629529,0.0781249
317,426.129333,0.0806383
318,426.629107,0.0817944
319,427.128843,0.082821
320,427.628534,0.0841027
321,428.128172,0.0814711
322,428.627749,0.0874423
323,429.127258,0.0953435
324,429.626692,0.0918255
325,430.126042,0.0946385
326,430.625301,0.0992549
327,431.124462,0.10376
328,431.623516,0.107227
329,432.122457,0.109347
330,432.621277,0.116791
331,433.119968,0.119488
332,433.618522,0.122533
333,434.116932,0.124492
334,434.615191,0.130795
335,435.11329,0.138375
336,435.611222,0.150581
337,436.109058,0.153249
338,436.606873,0.15508
339,437.104666,0.159482
340,437.602437,0.164719
341,438.100187,0.169983
342,438.597915,0.179233
343,439.095622,0.191427
344,439.593307,0.198984
345,440.090971,0.207353
346,440.588612,0.216338
347,441.086232,0.239785
348,441.583831,0.257621
349,442.081407,0.265668
350,442.578962,0.284346
351,443.076494,0.304704
352,443.574005,0.320914
353,444.071494,0.340539
354,444.568961,0.353844
355,445.066407,0.374147
356,445.56383,0.384511
357,446.061231,0.41055
358,446.55861,0.427096
359,447.055967,0.44367
360,447.553301,0.456121
361,448.050614,0.471921
362,448.547904,0.490184
363,449.045173,0.509808
364,449.542419,0.525165
365,450.039642,0.545936
366,450.536844,0.551777
367,451.034023,0.566243
368,451.531179,0.573389
369,452.028314,0.578445
370,452.525425,0.572457
371,453.022515,0.575931
372,453.519582,0.559423
373,454.016626,0.550231
374,454.513648,0.541031
375,455.010647,0.525596
376,455.507623,0.519415
377,456.004577,0.497977
378,456.501508,0.481061
379,456.998417,0.444235
380,457.495303,0.433741
381,457.992166,0.407777
382,458.489006,0.401785
383,458.985823,0.390916
384,459.482618,0.391361
385,459.979389,0.374495
386,460.476138,0.36067
387,460.972864,0.353209
388,461.469566,0.347429
389,461.966246,0.327846
390,462.462903,0.326752
391,462.959536,0.312469
392,463.456147,0.317078
393,463.952734,0.307023
394,464.449298,0.298601
395,464.945839,0.292739
396,465.442356,0.273637
397,465.938851,0.267609
398,466.435322,0.262817
399,466.93177,0.255335
400,467.428194,0.260494
401,467.924595,0.24261
402,468.420973,0.24229
403,468.917327,0.235278
404,469.413657,0.231818
405,469.909964,0.22945
406,470.406248,0.224433
407,470.902508,0.217544
408,471.398744,0.215457
409,471.894957,0.216928
410,472.391146,0.205322
411,472.887312,0.198113
412,473.383453,0.194241
413,473.879571,0.193721
414,474.375665,0.191305
415,474.871735,0.18829
416,475.367782,0.179149
417,475.863804,0.17924
418,476.359803,0.179048
419,476.855777,0.176721
420,477.351728,0.169627
421,477.847655,0.172549
422,478.343557,0.171432
423,478.839436,0.169521
424,479.33529,0.17112
425,479.831121,0.165833
426,480.326927,0.163611
427,480.822709,0.160585
428,481.318466,0.162795
429,481.8142,0.154224
430,482.309909,0.150984
431,482.805594,0.150842
432,483.301254,0.148536
433,483.79689,0.147122
434,484.292502,0.146504
435,484.788089,0.143735
436,485.283652,0.144959
437,485.77919,0.142212
438,486.274704,0.141215
439,486.770193,0.145767
440,487.265658,0.139528
441,487.761098,0.141603
442,488.256513,0.149062
443,488.751885,0.144469
444,489.247195,0.142512
445,489.742446,0.137847
446,490.237638,0.141439
447,490.732773,0.137178
448,491.227852,0.134935
449,491.722876,0.14255
450,492.217848,0.141543
451,492.712767,0.140335
452,493.207636,0.140966
453,493.702456,0.148053
454,494.197229,0.14482
455,494.691955,0.148
456,495.186636,0.148119
457,495.681274,0.151857
458,496.175869,0.157258
459,496.670423,0.162441
460,497.164938,0.165011
461,497.659415,0.175585
462,498.153855,0.169191
463,498.64826,0.171534
464,499.14263,0.174754
465,499.636968,0.183093
466,500.131275,0.191041
467,500.625551,0.193863
468,501.119799,0.20707
469,501.61402,0.210477
470,502.108215,0.211983
471,502.602385,0.22298
472,503.096532,0.229178
473,503.590658,0.237066
474,504.084763,0.239239
475,504.578849,0.244682
476,505.072917,0.254292
477,505.566968,0.25655
478,506.061005,0.264383
479,506.555028,0.272272
480,507.049039,0.285952
481,507.543039,0.300548
482,508.03703,0.312123
483,508.531012,0.32498
484,509.024988,0.341045
485,509.518958,0.355704
486,510.012924,0.373661
487,510.506887,0.377348
488,511.000849,0.404826
489,511.494811,0.416061
490,511.988774,0.419521
491,512.48274,0.443465
492,512.97671,0.4465
493,513.470686,0.459155
494,513.964668,0.449281
495,514.458658,0.465454
496,514.952658,0.462272
497,515.446669,0.469508
498,515.940693,0.478578
499,516.434729,0.484883
500,516.928781,0.495756
501,517.422849,0.498115
502,517.916935,0.497118
503,518.41104,0.491269
504,518.905165,0.501323
505,519.399313,0.520136
506,519.893483,0.525423
507,520.387678,0.520677
508,520.881898,0.535276
509,521.376146,0.552962
510,521.870423,0.560968
511,522.364729,0.558238
512,522.859051,0.565237
513,523.353373,0.56314
514,523.847695,0.56214
515,524.342017,0.559338
516,524.836339,0.557362
517,525.330661,0.554768
518,525.824983,0.561188
519,526.319305,0.559649
520,526.813627,0.556337
521,527.307949,0.56796
522,527.802271,0.55604
523,528.296593,0.556974
524,528.790915,0.546575
525,529.285237,0.556174
526,529.779559,0.545135
527,530.273881,0.534367
528,530.768203,0.525828
529,531.262525,0.529849
530,531.756847,0.52426
531,532.251169,0.514486
532,532.745491,0.510449
533,533.239813,0.505816
534,533.734135,0.497363
535,534.228457,0.495074
