# Mode: Color Science
# Date: 2026-03-13 12:07:11
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=70.15 Y=100.00 Z=34.78
# LAB: L*=100.00 a*=0.00 b*=0.00
# xy: x=0.3423 y=0.4880
Pixel,Wavelength,Intensity
0,268.942329,0.0684848
1,269.439017,0.0685728
2,269.935693,0.0688834
3,270.432358,0.0676555
4,270.929011,0.0677632
5,271.425654,0.0668777
6,271.922285,0.0683393
7,272.418906,0.0690686
8,272.915515,0.0687125
9,273.412113,0.0659738
10,273.9087,0.0662743
11,274.405276,0.0657563
12,274.901841,0.0674388
13,275.398395,0.0659345
14,275.894938,0.0653136
15,276.391471,0.0657031
16,276.887992,0.0651929
17,277.384503,0.0646966
18,277.881003,0.0674062
19,278.377492,0.0664529
20,278.87397,0.0669599
21,279.370438,0.0668804
22,279.866895,0.066797
23,280.363342,0.0677402
24,280.859777,0.0676953
25,281.356203,0.0683284
26,281.852617,0.0676467
27,282.349021,0.0655597
28,282.845415,0.066744
29,283.341798,0.068758
30,283.838171,0.0673196
31,284.334533,0.0679072
32,284.830885,0.0708256
33,285.327227,0.067469
34,285.823558,0.0632759
35,286.319879,0.064384
36,286.81619,0.0668338
37,287.312491,0.0649506
38,287.808781,0.0653991
39,288.305062,0.0660917
40,288.801332,0.0628559
41,289.297592,0.0652454
42,289.793842,0.0656701
43,290.290082,0.0674936
44,290.786312,0.0685265
45,291.282532,0.0652585
46,291.778742,0.0661319
47,292.274942,0.0665706
48,292.771132,0.0662342
49,293.267313,0.0671532
50,293.763483,0.0719597
51,294.259644,0.0686298
52,294.755795,0.0675115
53,295.251936,0.0678974
54,295.748068,0.0694037
55,296.24419,0.0676545
56,296.740302,0.0659405
57,297.236405,0.065722
58,297.732498,0.067685
59,298.228582,0.0676442
60,298.724656,0.0678431
61,299.22072,0.0645472
62,299.716775,0.0643132
63,300.212821,0.067026
64,300.708857,0.0673621
65,301.204884,0.0674203
66,301.700902,0.0651445
67,302.19691,0.0676294
68,302.692909,0.0660764
69,303.188899,0.0651745
70,303.684879,0.0664623
71,304.18085,0.065481
72,304.676813,0.0645054
73,305.172766,0.0650899
74,305.66871,0.0677807
75,306.164645,0.0694852
76,306.66057,0.0651306
77,307.156487,0.0651981
78,307.652395,0.0665987
79,308.148294,0.0678594
80,308.644184,0.067267
81,309.140065,0.0655751
82,309.635937,0.0653755
83,310.131801,0.0673452
84,310.627656,0.0664991
85,311.123502,0.0661199
86,311.619339,0.0687955
87,312.115167,0.0684262
88,312.610987,0.0659462
89,313.106798,0.0652834
90,313.602601,0.065865
91,314.098395,0.0641903
92,314.59418,0.0658099
93,315.089957,0.0636982
94,315.585726,0.0632942
95,316.081485,0.0622139
96,316.577237,0.064065
97,317.07298,0.0665213
98,317.568715,0.0667844
99,318.064441,0.0693544
100,318.560159,0.0646519
101,319.055869,0.0691181
102,319.551571,0.0659405
103,320.047264,0.0686364
104,320.54295,0.0662781
105,321.038627,0.0665074
106,321.534295,0.0679066
107,322.029956,0.0655939
108,322.525609,0.0636472
109,323.021254,0.0669499
110,323.516891,0.0651452
111,324.012519,0.0656755
112,324.50814,0.0649898
113,325.003753,0.0644874
114,325.499358,0.0639613
115,325.994955,0.0654936
116,326.490544,0.0650425
117,326.986126,0.0663168
118,327.4817,0.0668545
119,327.977266,0.0655711
120,328.472824,0.0649985
121,328.968375,0.0642661
122,329.463918,0.0650049
123,329.959453,0.0662096
124,330.454981,0.0682267
125,330.950501,0.0674964
126,331.446014,0.0631004
127,331.941519,0.0650954
128,332.437017,0.0662638
129,332.932508,0.0661919
130,333.427991,0.0645736
131,333.923466,0.0648803
132,334.418935,0.0646705
133,334.914396,0.0651826
134,335.409849,0.0659233
135,335.905296,0.0651858
136,336.400735,0.0658274
137,336.896167,0.0683095
138,337.391592,0.0665741
139,337.88701,0.065077
140,338.38242,0.0654686
141,338.877824,0.0656741
142,339.373221,0.0669203
143,339.86861,0.0664829
144,340.363993,0.0652924
145,340.859368,0.0645031
146,341.354737,0.0651348
147,341.850099,0.065064
148,342.345454,0.0627287
149,342.840802,0.0630123
150,343.336144,0.0640911
151,343.831478,0.0645695
152,344.326806,0.0642154
153,344.822127,0.0663038
154,345.317442,0.0674001
155,345.81275,0.0640336
156,346.308051,0.0648735
157,346.803346,0.0644317
158,347.298634,0.064618
159,347.793915,0.0670313
160,348.289191,0.0655806
161,348.784459,0.0654704
162,349.279721,0.064814
163,349.774977,0.0678247
164,350.270227,0.0664168
165,350.76547,0.0673118
166,351.260707,0.0642718
167,351.755937,0.0646939
168,352.251162,0.0642033
169,352.74638,0.0647428
170,353.241592,0.065873
171,353.736797,0.0644923
172,354.231997,0.0665723
173,354.72719,0.0658195
174,355.222378,0.0670297
175,355.717559,0.0661017
176,356.212735,0.0657931
177,356.707904,0.0668863
178,357.203068,0.0665822
179,357.698225,0.0666007
180,358.193377,0.066047
181,358.688523,0.0656645
182,359.183663,0.0655618
183,359.678797,0.0656252
184,360.173925,0.0657082
185,360.669048,0.0652764
186,361.164165,0.0658872
187,361.659276,0.0641773
188,362.154382,0.0655781
189,362.649482,0.0657509
190,363.144577,0.0663693
191,363.639666,0.066157
192,364.134749,0.0658738
193,364.629827,0.0649124
194,365.1249,0.0649723
195,365.619967,0.0656211
196,366.115028,0.0643585
197,366.610085,0.0678625
198,367.105136,0.0632739
199,367.600181,0.0642241
200,368.095222,0.0662311
201,368.590257,0.0623205
202,369.085287,0.0669491
203,369.580311,0.0658873
204,370.075331,0.0658678
205,370.570345,0.0654629
206,371.065355,0.064415
207,371.560359,0.0626886
208,372.055358,0.0663874
209,372.550352,0.0637893
210,373.045342,0.0669522
211,373.540326,0.0661298
212,374.035305,0.0654333
213,374.53028,0.0637469
214,375.025249,0.0655125
215,375.520214,0.0680455
216,376.015174,0.0678512
217,376.510129,0.0629924
218,377.00508,0.0656891
219,377.500026,0.065204
220,377.994967,0.0647734
221,378.489903,0.0630631
222,378.984835,0.0665652
223,379.479763,0.0648012
224,379.974685,0.0621974
225,380.469604,0.0641903
226,380.964517,0.0668266
227,381.459427,0.0671631
228,381.954332,0.0658581
229,382.449232,0.0651613
230,382.944128,0.0655635
231,383.43902,0.065857
232,383.933907,0.0667882
233,384.428791,0.0664712
234,384.923669,0.0668149
235,385.418544,0.0668082
236,385.913415,0.0677651
237,386.408281,0.0641939
238,386.903143,0.0645161
239,387.398001,0.064653
240,387.892855,0.0676947
241,388.387706,0.0673614
242,388.882552,0.0674386
243,389.377394,0.0692049
244,389.872232,0.06948
245,390.367066,0.0676897
246,390.861896,0.0683331
247,391.356723,0.0661026
248,391.851545,0.0644292
249,392.346364,0.0638514
250,392.841179,0.0687753
251,393.33599,0.0710279
252,393.830798,0.0688798
253,394.325602,0.0723262
254,394.820402,0.0701539
255,395.315199,0.0676897
256,395.809992,0.0706135
257,396.304782,0.0712872
258,396.799568,0.07363
259,397.29435,0.075738
260,397.789129,0.0744836
261,398.283905,0.0724898
262,398.778677,0.070621
263,399.273446,0.0735623
264,399.768212,0.0737683
265,400.262974,0.071638
266,400.757733,0.0707277
267,401.252489,0.0738594
268,401.747241,0.0760607
269,402.24199,0.0790179
270,402.736736,0.073451
271,403.231479,0.0740437
272,403.726219,0.074897
273,404.220956,0.0764619
274,404.71569,0.0750804
275,405.210421,0.0753686
276,405.704798,0.0768524
277,406.1987,0.0749872
278,406.692465,0.0765668
279,407.186436,0.0819377
280,407.680951,0.0782991
281,408.176353,0.0756651
282,408.672431,0.077899
283,409.168744,0.0762464
284,409.665286,0.0778782
285,410.162048,0.0770817
286,410.659022,0.0766713
287,411.156202,0.0765591
288,411.653579,0.0757892
289,412.151147,0.0793651
290,412.648896,0.0815063
291,413.146821,0.0827431
292,413.644912,0.0832245
293,414.143164,0.0822201
294,414.641567,0.0786173
295,415.140114,0.0802611
296,415.638799,0.0769911
297,416.137612,0.0808161
298,416.636548,0.082273
299,417.135597,0.0792207
300,417.634753,0.0791572
301,418.134007,0.0867065
302,418.633353,0.0799566
303,419.132783,0.076851
304,419.632289,0.0804843
305,420.131863,0.079739
306,420.631498,0.0842462
307,421.131186,0.0824304
308,421.630921,0.082287
309,422.130693,0.0785832
310,422.630496,0.0794921
311,423.130322,0.076483
312,423.630163,0.0772239
313,424.130012,0.0743758
314,424.629861,0.0764463
315,425.129702,0.0771028
316,425.629529,0.0784914
317,426.129333,0.078862
318,426.629107,0.0809231
319,427.128843,0.082012
320,427.628534,0.0818969
321,428.128172,0.0770925
322,428.627749,0.0790858
323,429.127258,0.0791595
324,429.626692,0.0807615
325,430.126042,0.0825546
326,430.625301,0.0787722
327,431.124462,0.0838896
328,431.623516,0.0823172
329,432.122457,0.0797573
330,432.621277,0.0823322
331,433.119968,0.0807951
332,433.618522,0.0819892
333,434.116932,0.0815104
334,434.615191,0.0816759
335,435.11329,0.0799444
336,435.611222,0.0836999
337,436.109058,0.0789501
338,436.606873,0.0818489
339,437.104666,0.0836049
340,437.602437,0.0840008
341,438.100187,0.0849576
342,438.597915,0.0853602
343,439.095622,0.0846186
344,439.593307,0.0872547
345,440.090971,0.0859802
346,440.588612,0.08479
347,441.086232,0.089937
348,441.583831,0.0877904
349,442.081407,0.0864777
350,442.578962,0.0896743
351,443.076494,0.0864819
352,443.574005,0.0888522
353,444.071494,0.0844751
354,444.568961,0.0817244
355,445.066407,0.0876844
356,445.56383,0.0852573
357,446.061231,0.0880123
358,446.55861,0.0889887
359,447.055967,0.0909975
360,447.553301,0.0896662
361,448.050614,0.0889975
362,448.547904,0.0857395
363,449.045173,0.0912667
364,449.542419,0.0881575
365,450.039642,0.0860144
366,450.536844,0.0897206
367,451.034023,0.0929453
368,451.531179,0.0920141
369,452.028314,0.0924704
370,452.525425,0.0908386
371,453.022515,0.0899316
372,453.519582,0.0934418
373,454.016626,0.0936099
374,454.513648,0.0946634
375,455.010647,0.0938705
376,455.507623,0.0931395
377,456.004577,0.0971804
378,456.501508,0.0986855
379,456.998417,0.103386
380,457.495303,0.101626
381,457.992166,0.103734
382,458.489006,0.103362
383,458.985823,0.108191
384,459.482618,0.106549
385,459.979389,0.109663
386,460.476138,0.110326
387,460.972864,0.111748
388,461.469566,0.11443
389,461.966246,0.118265
390,462.462903,0.119194
391,462.959536,0.126731
392,463.456147,0.127794
393,463.952734,0.126579
394,464.449298,0.128473
395,464.945839,0.137381
396,465.442356,0.141077
397,465.938851,0.139192
398,466.435322,0.13557
399,466.93177,0.140126
400,467.428194,0.141891
401,467.924595,0.142415
402,468.420973,0.143776
403,468.917327,0.148198
404,469.413657,0.15558
405,469.909964,0.155377
406,470.406248,0.14849
407,470.902508,0.149337
408,471.398744,0.15532
409,471.894957,0.154164
410,472.391146,0.154415
411,472.887312,0.156108
412,473.383453,0.158751
413,473.879571,0.159622
414,474.375665,0.165858
415,474.871735,0.165118
416,475.367782,0.166785
417,475.863804,0.169944
418,476.359803,0.163705
419,476.855777,0.16406
420,477.351728,0.172239
421,477.847655,0.16823
422,478.343557,0.173315
423,478.839436,0.170296
424,479.33529,0.181789
425,479.831121,0.179227
426,480.326927,0.177694
427,480.822709,0.173742
428,481.318466,0.177661
429,481.8142,0.182626
430,482.309909,0.191678
431,482.805594,0.188813
432,483.301254,0.191828
433,483.79689,0.194372
434,484.292502,0.191436
435,484.788089,0.188703
436,485.283652,0.192991
437,485.77919,0.200746
438,486.274704,0.19284
439,486.770193,0.201369
440,487.265658,0.209635
441,487.761098,0.222054
442,488.256513,0.227672
443,488.751885,0.232897
444,489.247195,0.236905
445,489.742446,0.245913
446,490.237638,0.25253
447,490.732773,0.255355
448,491.227852,0.257798
449,491.722876,0.268592
450,492.217848,0.266666
451,492.712767,0.287956
452,493.207636,0.301657
453,493.702456,0.308668
454,494.197229,0.305467
455,494.691955,0.317989
456,495.186636,0.325457
457,495.681274,0.338929
458,496.175869,0.33906
459,496.670423,0.350207
460,497.164938,0.361246
461,497.659415,0.361574
462,498.153855,0.372324
463,498.64826,0.39068
464,499.14263,0.389652
465,499.636968,0.400902
466,500.131275,0.401373
467,500.625551,0.399866
468,501.119799,0.409347
469,501.61402,0.415242
470,502.108215,0.428624
471,502.602385,0.432228
472,503.096532,0.443379
473,503.590658,0.45526
474,504.084763,0.450272
475,504.578849,0.461322
476,505.072917,0.470247
477,505.566968,0.47964
478,506.061005,0.493578
479,506.555028,0.488487
480,507.049039,0.491854
481,507.543039,0.499587
482,508.03703,0.494889
483,508.531012,0.506972
484,509.024988,0.500762
485,509.518958,0.518477
486,510.012924,0.519131
487,510.506887,0.527335
488,511.000849,0.525651
489,511.494811,0.529921
490,511.988774,0.541903
491,512.48274,0.531184
492,512.97671,0.525184
493,513.470686,0.530289
494,513.964668,0.524354
495,514.458658,0.511134
496,514.952658,0.510355
497,515.446669,0.503638
498,515.940693,0.502844
499,516.434729,0.49877
500,516.928781,0.496087
501,517.422849,0.506317
502,517.916935,0.513615
503,518.41104,0.52597
504,518.905165,0.518052
505,519.399313,0.54452
506,519.893483,0.545629
507,520.387678,0.541184
508,520.881898,0.536823
509,521.376146,0.559942
510,521.870423,0.558488
511,522.364729,0.554659
512,522.859051,0.558427
513,523.353373,0.5552
514,523.847695,0.561539
515,524.342017,0.547673
516,524.836339,0.533101
517,525.330661,0.535181
518,525.824983,0.533566
519,526.319305,0.530596
520,526.813627,0.545423
521,527.307949,0.556024
522,527.802271,0.552261
523,528.296593,0.552616
524,528.790915,0.56088
525,529.285237,0.56881
526,529.779559,0.565067
527,530.273881,0.558531
528,530.768203,0.551049
529,531.262525,0.555785
530,531.756847,0.548078
531,532.251169,0.547816
532,532.745491,0.543261
533,533.239813,0.547319
534,533.734135,0.554551
535,534.228457,0.558715
536,534.722779,0.553535
537,535.217101,0.550863
538,535.711423,0.546265
539,536.205745,0.547095
540,536.700067,0.548607
541,537.194389,0.532222
542,537.688711,0.528301
543,538.183033,0.53262
544,538.677355,0.522279
545,539.171677,0.523729
546,539.665999,0.511567
547,540.160321,0.505453
548,540.654643,0.507487
549,541.148965,0.509628
550,541.643287,0.504731
551,542.137609,0.509307
552,542.631931,0.507953
553,543.126253,0.50876
554,543.620574,0.50818
555,544.114896,0.50188
556,544.609218,0.505857
557,545.10354,0.4963
558,545.597862,0.49898
559,546.092184,0.493492
560,546.586506,0.490638
561,547.080828,0.481495
562,547.57515,0.478602
563,548.069472,0.470662
564,548.563794,0.471696
565,549.058116,0.470118
566,549.552438,0.470821
567,550.04676,0.476296
568,550.541082,0.480088
569,551.035404,0.466233
570,551.529726,0.451377
571,552.024048,0.450915
572,552.51837,0.446227
573,553.012692,0.447221
574,553.507014,0.445033
575,554.001336,0.425998
576,554.495658,0.418236
577,554.98998,0.41643
578,555.484302,0.414849
579,555.978624,0.405042
580,556.472946,0.393843
581,556.967268,0.397061
582,557.46159,0.385555
583,557.955912,0.379209
584,558.450234,0.380444
585,558.944556,0.371918
586,559.438878,0.371013
587,559.9332,0.371435
588,560.427522,0.3582
589,560.921844,0.365154
590,561.416166,0.357068
591,561.910488,0.356391
592,562.40481,0.353193
593,562.899132,0.349619
594,563.393454,0.344231
595,563.887776,0.335207
596,564.382098,0.328196
597,564.87642,0.32545
598,565.370741,0.331799
599,565.865063,0.32873
600,566.359385,0.321869
601,566.853707,0.316816
602,567.348029,0.323904
603,567.842351,0.315666
604,568.336673,0.310661
605,568.830479,0.306354
606,569.323374,0.304468
607,569.81554,0.304074
608,570.30716,0.302247
609,570.798415,0.297789
610,571.289488,0.301208
611,571.78056,0.294683
612,572.271816,0.29366
613,572.763435,0.294541
614,573.255601,0.294219
615,573.748496,0.290244
616,574.242302,0.290264
617,574.737201,0.286882
618,575.233375,0.282768
619,575.731007,0.27998
620,576.230278,0.27316
621,576.731371,0.277331
622,577.234469,0.279493
623,577.740683,0.280225
624,578.250555,0.279873
625,578.763412,0.281984
626,579.278579,0.272456
627,579.795382,0.278207
628,580.313147,0.275453
629,580.831199,0.283642
630,581.348866,0.271436
631,581.865473,0.272163
632,582.380345,0.275216
633,582.892809,0.27136
634,583.402191,0.278756
635,583.907816,0.26766
636,584.409868,0.26187
637,584.909238,0.261997
638,585.406307,0.263952
639,585.901459,0.25996
640,586.395079,0.251538
641,586.887548,0.250819
642,587.37925,0.243994
643,587.870569,0.240334
644,588.361889,0.246401
645,588.853591,0.244355
646,589.34606,0.248015
647,589.839679,0.244334
648,590.333705,0.239968
649,590.827198,0.235554
650,591.320247,0.246351
651,591.812941,0.246744
652,592.305368,0.247478
653,592.797618,0.240665
654,593.289778,0.240781
655,593.781939,0.234587
656,594.274189,0.234321
657,594.766616,0.237265
658,595.259309,0.234069
659,595.752358,0.23221
660,596.245851,0.23093
661,596.739877,0.226508
662,597.234525,0.219831
663,597.729883,0.22524
664,598.226041,0.225199
665,598.723086,0.227378
666,599.221109,0.22429
667,599.720198,0.225388
668,600.220441,0.219215
669,600.722397,0.218359
670,601.226395,0.222308
671,601.732181,0.226451
672,602.239498,0.222644
673,602.748093,0.215848
674,603.25771,0.211502
675,603.768093,0.218385
676,604.278989,0.216025
677,604.790143,0.21471
678,605.301298,0.206645
679,605.8122,0.207369
680,606.322595,0.20633
681,606.832227,0.204817
682,607.340841,0.200186
683,607.848182,0.208078
684,608.353996,0.208143
685,608.858026,0.199187
686,609.360019,0.200764
687,609.859719,0.198997
688,610.357528,0.198344
689,610.854059,0.200366
690,611.349373,0.196821
691,611.843531,0.199213
692,612.336595,0.193532
693,612.828628,0.192612
694,613.319689,0.186733
695,613.809841,0.190697
696,614.299145,0.193718
697,614.787663,0.188599
698,615.275457,0.181173
699,615.762587,0.197957
700,616.249116,0.188849
701,616.735104,0.190027
702,617.220614,0.184365
703,617.705707,0.18606
704,618.190445,0.186869
705,618.674889,0.185414
