# Mode: Color Science
# Date: 2026-03-13 13:07:15
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=145.65 Y=245.84 Z=52.00
# LAB: L*=140.56 a*=-108.05 b*=109.10
# xy: x=0.3284 y=0.5543
Pixel,Wavelength,Measured,Dark
0,268.942329,0.0,0.06719216704368591
1,269.439017,0.0,0.06719367206096649
2,269.935693,0.0,0.06702770292758942
3,270.432358,0.0,0.06725861132144928
4,270.929011,0.0,0.06629519909620285
5,271.425654,0.003965400159358978,0.06342794746160507
6,271.922285,0.0016447380185127258,0.0655520036816597
7,272.418906,0.0,0.06671178340911865
8,272.915515,0.0004363209009170532,0.06487288326025009
9,273.412113,0.0,0.06636766344308853
10,273.9087,0.0,0.06666263192892075
11,274.405276,0.0,0.0655437782406807
12,274.901841,0.001300118863582611,0.06525832414627075
13,275.398395,0.0,0.06735558062791824
14,275.894938,0.0,0.0656370148062706
15,276.391471,0.0,0.06357932835817337
16,276.887992,0.0019503533840179443,0.06384408473968506
17,277.384503,0.0007136538624763489,0.0638539269566536
18,277.881003,0.0028343871235847473,0.0638890415430069
19,278.377492,0.0011193156242370605,0.06529814004898071
20,278.87397,0.00027266889810562134,0.06629110127687454
21,279.370438,2.5756657123565674e-05,0.0676770731806755
22,279.866895,0.0,0.06662549823522568
23,280.363342,0.0010985508561134338,0.0637701228260994
24,280.859777,0.0,0.065235435962677
25,281.356203,0.0,0.06612616032361984
26,281.852617,0.0,0.06814421713352203
27,282.349021,0.000656425952911377,0.06477972865104675
28,282.845415,0.0,0.0651816725730896
29,283.341798,0.0,0.06601115316152573
30,283.838171,0.0,0.06545115262269974
31,284.334533,0.0,0.066471166908741
32,284.830885,0.0,0.06688160449266434
33,285.327227,0.002292416989803314,0.0642976313829422
34,285.823558,0.0006431043148040771,0.06435320526361465
35,286.319879,0.003383852541446686,0.06338655203580856
36,286.81619,0.0025426894426345825,0.06512321531772614
37,287.312491,0.002328634262084961,0.06637806445360184
38,287.808781,0.004035674035549164,0.06336352229118347
39,288.305062,0.0038263723254203796,0.06384964287281036
40,288.801332,0.0024657249450683594,0.06558249890804291
41,289.297592,0.0011773556470870972,0.06605222821235657
42,289.793842,0.0,0.06555473804473877
43,290.290082,0.0,0.06552105396986008
44,290.786312,1.5854835510253906e-05,0.0648493766784668
45,291.282532,0.0011369362473487854,0.06459646672010422
46,291.778742,0.0019386783242225647,0.06317657232284546
47,292.274942,0.0033724121749401093,0.06187320873141289
48,292.771132,0.0029035843908786774,0.062090445309877396
49,293.267313,0.0,0.06584406644105911
50,293.763483,0.003624752163887024,0.06560537219047546
51,294.259644,0.0051234811544418335,0.0644664317369461
52,294.755795,0.0,0.06793124973773956
53,295.251936,0.000994078814983368,0.06689726561307907
54,295.748068,0.0,0.06715446710586548
55,296.24419,0.0034685060381889343,0.06356778740882874
56,296.740302,0.0,0.06652260571718216
57,297.236405,0.00016540288925170898,0.06702101975679398
58,297.732498,0.000738777220249176,0.06585458666086197
59,298.228582,0.0007498413324356079,0.06424646824598312
60,298.724656,0.0,0.06643427163362503
