pixel,intensity,reference_wavelength,reference_intensity,calibrated_wavelength,calibrated_intensity
0,0.06256110221147537,380.005117,0.004527280346773061,380.005117,0.06256110221147537
1,0.06179895997047424,380.304047,0.004437026897375619,380.304047,0.06179895997047424
2,0.061699554324150085,380.602977,0.004346773447978195,380.602977,0.061699554324150085
3,0.06172781065106392,380.901908,0.004256519696659087,380.901908,0.06172781065106392
4,0.06239510327577591,381.200838,0.004165255624804337,381.200838,0.06239510327577591
5,0.06303899735212326,381.499768,0.004073497951250272,381.499768,0.06303899735212326
6,0.0629444345831871,381.798698,0.003981740277696223,381.798698,0.0629444345831871
7,0.06306670606136322,382.097628,0.003889982604142175,382.097628,0.06306670606136322
8,0.06313758343458176,382.396558,0.0037982249305881103,382.396558,0.06313758343458176
9,0.06248815357685089,382.695488,0.003706467257034063,382.695488,0.06248815357685089
10,0.06234036386013031,382.994418,0.003614709583480016,382.994418,0.06234036386013031
11,0.06235276162624359,383.293349,0.0035244277433801145,383.293349,0.06235276162624359
12,0.06248129531741142,383.592279,0.0034341742939826727,383.592279,0.06248129531741142
13,0.0622749850153923,383.891209,0.0033439208445852483,383.891209,0.0622749850153923
14,0.062188707292079926,384.190139,0.0032555809647654256,384.190139,0.062188707292079926
15,0.062146883457899094,384.489069,0.003168335963681248,384.489069,0.062146883457899094
16,0.06223525479435921,384.787999,0.0030810909625970545,384.787999,0.06223525479435921
17,0.062316715717315674,385.086929,0.0029957269069427702,385.086929,0.062316715717315674
18,0.06263487786054611,385.38586,0.0029149497995121674,385.38586,0.06263487786054611
19,0.06259799003601074,385.68479,0.0028341729623014575,385.68479,0.06259799003601074
20,0.06256109476089478,385.98372,0.0027533961250907632,385.98372,0.06256109476089478
21,0.062485892325639725,386.28265,0.0026778462504471277,386.28265,0.062485892325639725
22,0.06239108368754387,386.58158,0.0026025974370120254,386.58158,0.06239108368754387
23,0.06222730502486229,386.88051,0.0025273486235769084,386.88051,0.06222730502486229
24,0.06251858919858932,387.179441,0.002456027400277131,387.179441,0.06251858919858932
25,0.0629800334572792,387.478371,0.0023873219619233417,387.478371,0.0629800334572792
26,0.06310416013002396,387.777301,0.002318616523569539,387.777301,0.06310416013002396
27,0.06288693845272064,388.076231,0.0022518386577953173,388.076231,0.06288693845272064
28,0.062357448041439056,388.375161,0.0021906919458285624,388.375161,0.062357448041439056
29,0.065493643283844,388.674091,0.002129545233861807,388.674091,0.065493643283844
30,0.066471166908741,388.973022,0.0020683983173430992,388.973022,0.066471166908741
31,0.06275659799575806,389.271952,0.002015051884962536,389.271952,0.06275659799575806
32,0.062328360974788666,389.570882,0.0019624792506885364,389.570882,0.062328360974788666
33,0.062306080013513565,389.869812,0.0019099066164145265,389.869812,0.062306080013513565
34,0.06264996528625488,390.168742,0.0018663674448024382,390.168742,0.06264996528625488
35,0.0621383897960186,390.467673,0.001829797657184496,390.467673,0.0621383897960186
36,0.06191634386777878,390.766603,0.0017932279919017666,390.766603,0.06191634386777878
37,0.061851922422647476,391.065533,0.0017586316596354163,391.065533,0.061851922422647476
38,0.06203823164105415,391.364463,0.0017310633896586874,391.364463,0.06203823164105415
39,0.0620848648250103,391.663393,0.0017034951196819583,391.663393,0.0620848648250103
40,0.06256109476089478,391.962323,0.0016759268497052245,391.962323,0.06256109476089478
41,0.06311502307653427,392.261254,0.001655711461027491,392.261254,0.06311502307653427
42,0.062351636588573456,392.560184,0.0016365565526642817,392.560184,0.062351636588573456
43,0.06210993975400925,392.859114,0.001617401644301072,392.859114,0.06210993975400925
44,0.06210492178797722,393.158044,0.0016023839791919773,393.158044,0.06210492178797722
45,0.06240468472242355,393.456974,0.0015910543987498115,393.456974,0.06240468472242355
46,0.06378643959760666,393.755905,0.0015797247804071996,393.755905,0.06378643959760666
47,0.06320153921842575,394.054835,0.0015697227918060096,394.054835,0.06320153921842575
48,0.06262218952178955,394.353765,0.0015656305055924103,394.353765,0.06262218952178955
49,0.06297465413808823,394.652695,0.001561538219378811,394.652695,0.06297465413808823
50,0.06256109476089478,394.951625,0.0015574459331652117,394.951625,0.06256109476089478
51,0.065493643283844,395.250556,0.0015584063651639679,395.250556,0.065493643283844
52,0.06270864605903625,395.549486,0.0015603423247217956,395.549486,0.06270864605903625
53,0.062438905239105225,395.848416,0.0015622782842796231,395.848416,0.062438905239105225
54,0.06295210868120193,396.147346,0.0015672784178610594,396.147346,0.06295210868120193
55,0.06451612710952759,396.446277,0.0015754308852257333,396.446277,0.06451612710952759
56,0.06264996528625488,396.745207,0.0015835833253183362,396.745207,0.06264996528625488
57,0.06302110105752945,397.044137,0.0015925897285141589,397.044137,0.06302110105752945
58,0.06306307017803192,397.343067,0.0016065258691402291,397.343067,0.06306307017803192
59,0.06264089047908783,397.641997,0.0016204620097662967,397.641997,0.06264089047908783
60,0.0625159814953804,397.940928,0.0016343981970124443,397.940928,0.0625159814953804
61,0.062461916357278824,398.239858,0.0016526278548398689,398.239858,0.062461916357278824
62,0.06256109476089478,398.538788,0.0016719149159980867,398.538788,0.06256109476089478
63,0.062132351100444794,398.837718,0.0016912019771563045,398.837718,0.062132351100444794
64,0.06207234412431717,399.136649,0.0017127373181051982,399.136649,0.06207234412431717
65,0.06211422383785248,399.435579,0.0017369425198335362,399.435579,0.06211422383785248
66,0.06198182702064514,399.734509,0.0017611477215618695,399.734509,0.06198182702064514
67,0.06304986029863358,400.033439,0.0017857352386483718,400.033439,0.06304986029863358
68,0.06293705850839615,400.33237,0.0018133582644737994,400.33237,0.06293705850839615
69,0.06199087202548981,400.6313,0.0018409811978931962,400.6313,0.06199087202548981
70,0.06205108389258385,400.93023,0.0018686041313125926,400.93023,0.06205108389258385
