# Mode: Color Science
# Date: 2026-03-13 12:07:38
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=112.17 Y=100.00 Z=102.84
# LAB: L*=100.00 a*=0.00 b*=0.00
# xy: x=0.3561 y=0.3175
Pixel,Wavelength,Intensity
0,268.942329,0.0642452
1,269.439017,0.0642924
2,269.935693,0.0651193
3,270.432358,0.0675984
4,270.929011,0.0654383
5,271.425654,0.0666647
6,271.922285,0.0653876
7,272.418906,0.0655723
8,272.915515,0.0677657
9,273.412113,0.0670142
10,273.9087,0.0661067
11,274.405276,0.065797
12,274.901841,0.0659916
13,275.398395,0.0661393
14,275.894938,0.0677438
15,276.391471,0.0672882
16,276.887992,0.0659964
17,277.384503,0.0654168
18,277.881003,0.0659091
19,278.377492,0.066567
20,278.87397,0.0643328
21,279.370438,0.0658935
22,279.866895,0.0685038
23,280.363342,0.0656264
24,280.859777,0.0632035
25,281.356203,0.0643504
26,281.852617,0.0656637
27,282.349021,0.0658141
28,282.845415,0.0637248
29,283.341798,0.0640088
30,283.838171,0.0659471
31,284.334533,0.0646806
32,284.830885,0.063291
33,285.327227,0.0685503
34,285.823558,0.0674293
35,286.319879,0.0665478
36,286.81619,0.0666341
37,287.312491,0.0655876
38,287.808781,0.0655708
39,288.305062,0.065597
40,288.801332,0.0676289
41,289.297592,0.0665339
42,289.793842,0.0657343
43,290.290082,0.0662811
44,290.786312,0.0662412
45,291.282532,0.0651316
46,291.778742,0.0665689
47,292.274942,0.0652282
48,292.771132,0.0640033
49,293.267313,0.0637423
50,293.763483,0.0653597
51,294.259644,0.0670368
52,294.755795,0.0675326
53,295.251936,0.0681166
54,295.748068,0.0672805
55,296.24419,0.0692219
56,296.740302,0.065203
57,297.236405,0.066542
58,297.732498,0.0660901
59,298.228582,0.0655803
60,298.724656,0.0647995
61,299.22072,0.0630416
62,299.716775,0.0656403
63,300.212821,0.0647048
64,300.708857,0.0641341
65,301.204884,0.0667135
66,301.700902,0.0662539
67,302.19691,0.0687476
68,302.692909,0.0659467
69,303.188899,0.0658227
70,303.684879,0.0674725
71,304.18085,0.0673767
72,304.676813,0.0665689
73,305.172766,0.0665003
74,305.66871,0.0652144
75,306.164645,0.0638114
76,306.66057,0.0667106
77,307.156487,0.0654456
78,307.652395,0.0658863
79,308.148294,0.0657623
80,308.644184,0.0659582
81,309.140065,0.0657075
82,309.635937,0.0661851
83,310.131801,0.064855
84,310.627656,0.0659781
85,311.123502,0.0678569
86,311.619339,0.0670449
87,312.115167,0.0650049
88,312.610987,0.0657664
89,313.106798,0.0665125
90,313.602601,0.0654545
91,314.098395,0.0654489
92,314.59418,0.0648494
93,315.089957,0.0629444
94,315.585726,0.067669
95,316.081485,0.0689766
96,316.577237,0.0656379
97,317.07298,0.0644044
98,317.568715,0.0641251
99,318.064441,0.0661638
100,318.560159,0.0656466
101,319.055869,0.0648101
