# Mode: Color Science
# Date: 2026-03-13 12:07:23
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=109.92 Y=100.00 Z=35.62
# LAB: L*=100.00 a*=0.00 b*=0.00
# xy: x=0.4477 y=0.4073
Pixel,Wavelength,Intensity
0,268.942329,0.0653121
1,269.439017,0.0653844
2,269.935693,0.0660159
3,270.432358,0.0657482
4,270.929011,0.066203
5,271.425654,0.0665652
6,271.922285,0.0655859
7,272.418906,0.0642154
8,272.915515,0.0642169
9,273.412113,0.0652879
10,273.9087,0.0664101
11,274.405276,0.0684717
12,274.901841,0.066682
13,275.398395,0.0663883
14,275.894938,0.0671821
15,276.391471,0.066249
16,276.887992,0.0661374
17,277.384503,0.0647768
18,277.881003,0.0649543
19,278.377492,0.0674057
20,278.87397,0.0673624
21,279.370438,0.0655799
22,279.866895,0.0665583
23,280.363342,0.0664525
24,280.859777,0.0674021
25,281.356203,0.0651153
26,281.852617,0.068632
27,282.349021,0.0663239
28,282.845415,0.065227
29,283.341798,0.065425
30,283.838171,0.064994
31,284.334533,0.064956
32,284.830885,0.0658102
33,285.327227,0.0646353
34,285.823558,0.0645984
35,286.319879,0.0678818
36,286.81619,0.0686992
37,287.312491,0.0675828
38,287.808781,0.0653618
39,288.305062,0.0664935
40,288.801332,0.0652521
41,289.297592,0.066818
42,289.793842,0.0671339
43,290.290082,0.0643702
44,290.786312,0.0644311
45,291.282532,0.0673458
46,291.778742,0.0652636
47,292.274942,0.0639884
48,292.771132,0.0647235
49,293.267313,0.0649306
50,293.763483,0.0662558
51,294.259644,0.064363
52,294.755795,0.0648518
53,295.251936,0.0656931
54,295.748068,0.0659
55,296.24419,0.0667035
56,296.740302,0.0670165
57,297.236405,0.0694789
58,297.732498,0.0668678
59,298.228582,0.0664494
60,298.724656,0.0660861
61,299.22072,0.0642849
62,299.716775,0.0655451
63,300.212821,0.0659598
64,300.708857,0.0627696
65,301.204884,0.0635742
66,301.700902,0.0664893
67,302.19691,0.0648079
68,302.692909,0.066421
69,303.188899,0.0669898
70,303.684879,0.0653633
71,304.18085,0.0674779
72,304.676813,0.06767
73,305.172766,0.0666927
74,305.66871,0.0649308
75,306.164645,0.0640057
76,306.66057,0.0656054
77,307.156487,0.0673107
78,307.652395,0.0657933
79,308.148294,0.0660522
80,308.644184,0.0666884
81,309.140065,0.0653087
82,309.635937,0.0660112
83,310.131801,0.0667655
84,310.627656,0.0666086
85,311.123502,0.0657944
86,311.619339,0.0676637
87,312.115167,0.067178
88,312.610987,0.0684209
89,313.106798,0.0717909
90,313.602601,0.0684519
91,314.098395,0.0646247
92,314.59418,0.0628152
93,315.089957,0.0637642
94,315.585726,0.0662699
95,316.081485,0.0663242
96,316.577237,0.0649566
97,317.07298,0.0647369
98,317.568715,0.0660378
99,318.064441,0.0645336
100,318.560159,0.0636834
101,319.055869,0.0646957
102,319.551571,0.0665643
103,320.047264,0.0653036
104,320.54295,0.0652144
105,321.038627,0.0654936
106,321.534295,0.0674181
107,322.029956,0.0643016
108,322.525609,0.0652467
109,323.021254,0.068654
110,323.516891,0.0674829
111,324.012519,0.0626811
112,324.50814,0.0655786
113,325.003753,0.0656674
114,325.499358,0.0637874
115,325.994955,0.0647097
116,326.490544,0.0658363
117,326.986126,0.0650992
118,327.4817,0.065938
119,327.977266,0.0690395
120,328.472824,0.0697987
121,328.968375,0.0660163
122,329.463918,0.0656747
123,329.959453,0.0662683
124,330.454981,0.0660401
125,330.950501,0.0652493
126,331.446014,0.0690802
127,331.941519,0.0673489
128,332.437017,0.0679648
129,332.932508,0.0664346
130,333.427991,0.0651854
131,333.923466,0.0661074
132,334.418935,0.0656528
133,334.914396,0.0664803
134,335.409849,0.0663607
135,335.905296,0.0664712
136,336.400735,0.066091
137,336.896167,0.0655286
138,337.391592,0.0666737
139,337.88701,0.0674186
140,338.38242,0.0646423
141,338.877824,0.0635637
142,339.373221,0.0655825
143,339.86861,0.0662118
144,340.363993,0.066978
145,340.859368,0.0668195
146,341.354737,0.067197
147,341.850099,0.0664053
148,342.345454,0.0635386
149,342.840802,0.0674032
150,343.336144,0.0662085
151,343.831478,0.0652233
152,344.326806,0.0658674
153,344.822127,0.0674399
154,345.317442,0.068351
155,345.81275,0.0676004
156,346.308051,0.0673859
157,346.803346,0.063689
158,347.298634,0.0658768
159,347.793915,0.0663683
160,348.289191,0.0645967
161,348.784459,0.0651993
162,349.279721,0.0675433
163,349.774977,0.0658116
164,350.270227,0.0638135
165,350.76547,0.0663168
166,351.260707,0.0663539
167,351.755937,0.065333
168,352.251162,0.0649917
169,352.74638,0.0654754
170,353.241592,0.065387
171,353.736797,0.063705
172,354.231997,0.0669887
173,354.72719,0.0671778
174,355.222378,0.0646558
175,355.717559,0.0640178
176,356.212735,0.0677028
177,356.707904,0.066648
178,357.203068,0.0638024
179,357.698225,0.0643597
180,358.193377,0.0628739
181,358.688523,0.0631917
182,359.183663,0.0652934
183,359.678797,0.0646139
184,360.173925,0.0670081
185,360.669048,0.0659498
186,361.164165,0.0661919
187,361.659276,0.0652271
188,362.154382,0.0649772
189,362.649482,0.0654048
190,363.144577,0.0656158
191,363.639666,0.0661888
192,364.134749,0.0662579
193,364.629827,0.066137
194,365.1249,0.0678978
195,365.619967,0.065624
196,366.115028,0.0667156
197,366.610085,0.0658154
198,367.105136,0.0641861
199,367.600181,0.0635468
200,368.095222,0.0661509
201,368.590257,0.0662195
202,369.085287,0.0651783
203,369.580311,0.0647499
204,370.075331,0.0654165
205,370.570345,0.0666857
206,371.065355,0.0677871
207,371.560359,0.0657061
208,372.055358,0.0669404
209,372.550352,0.0662945
210,373.045342,0.0671945
211,373.540326,0.0659943
212,374.035305,0.0651026
213,374.53028,0.0670395
214,375.025249,0.0698329
215,375.520214,0.0683785
216,376.015174,0.065116
217,376.510129,0.0653084
218,377.00508,0.0666591
219,377.500026,0.0653749
220,377.994967,0.0646753
221,378.489903,0.0644569
222,378.984835,0.0637866
223,379.479763,0.0662689
224,379.974685,0.0678414
225,380.469604,0.0661722
226,380.964517,0.0646397
227,381.459427,0.0648505
228,381.954332,0.0651506
229,382.449232,0.0662091
230,382.944128,0.0664432
231,383.43902,0.068136
232,383.933907,0.067369
233,384.428791,0.0672413
234,384.923669,0.0678794
235,385.418544,0.0669024
236,385.913415,0.0666949
237,386.408281,0.0655541
238,386.903143,0.0665973
239,387.398001,0.0678817
240,387.892855,0.0670741
241,388.387706,0.0666874
242,388.882552,0.0668799
243,389.377394,0.0666341
244,389.872232,0.0660411
245,390.367066,0.0688762
246,390.861896,0.0699861
247,391.356723,0.0651172
248,391.851545,0.0639439
249,392.346364,0.0662397
250,392.841179,0.0688211
251,393.33599,0.0674675
252,393.830798,0.0677238
253,394.325602,0.0690779
254,394.820402,0.0670254
255,395.315199,0.0654162
256,395.809992,0.0662198
257,396.304782,0.0680891
258,396.799568,0.0690034
259,397.29435,0.0708401
260,397.789129,0.0699525
261,398.283905,0.0705009
262,398.778677,0.0730634
263,399.273446,0.0707986
264,399.768212,0.0710078
265,400.262974,0.0716271
266,400.757733,0.070392
267,401.252489,0.0734178
268,401.747241,0.0746284
269,402.24199,0.0743139
270,402.736736,0.072825
271,403.231479,0.0748615
272,403.726219,0.0749979
273,404.220956,0.0735228
274,404.71569,0.0724053
275,405.210421,0.0720962
276,405.704798,0.0738973
277,406.1987,0.0739233
278,406.692465,0.0731759
279,407.186436,0.0734853
280,407.680951,0.076017
281,408.176353,0.0737799
282,408.672431,0.0762629
283,409.168744,0.0747257
284,409.665286,0.0755098
285,410.162048,0.0756878
286,410.659022,0.0747755
287,411.156202,0.0765183
288,411.653579,0.0761532
289,412.151147,0.0776212
290,412.648896,0.0779842
291,413.146821,0.0757912
292,413.644912,0.0787653
293,414.143164,0.0752688
294,414.641567,0.07505
295,415.140114,0.0772606
296,415.638799,0.0754451
297,416.137612,0.0785047
298,416.636548,0.0768525
299,417.135597,0.0760291
300,417.634753,0.0772239
301,418.134007,0.0773681
302,418.633353,0.0758194
303,419.132783,0.0763636
304,419.632289,0.0774108
305,420.131863,0.0788564
306,420.631498,0.0793925
307,421.131186,0.0762463
308,421.630921,0.0786358
309,422.130693,0.0804672
310,422.630496,0.0770528
311,423.130322,0.0729507
312,423.630163,0.07561
313,424.130012,0.0755915
314,424.629861,0.0789956
315,425.129702,0.0754721
316,425.629529,0.0772318
317,426.129333,0.0775863
318,426.629107,0.076182
319,427.128843,0.0770959
320,427.628534,0.0760299
321,428.128172,0.0783828
322,428.627749,0.0775694
323,429.127258,0.0750304
324,429.626692,0.0779737
325,430.126042,0.0746225
326,430.625301,0.0773448
327,431.124462,0.0773552
328,431.623516,0.0760653
329,432.122457,0.079311
330,432.621277,0.0742753
331,433.119968,0.0769231
332,433.618522,0.0758285
333,434.116932,0.0792609
334,434.615191,0.0791148
335,435.11329,0.0801888
336,435.611222,0.079169
337,436.109058,0.0823402
338,436.606873,0.0810908
339,437.104666,0.0823712
340,437.602437,0.082383
341,438.100187,0.0800927
342,438.597915,0.0828629
343,439.095622,0.0804093
344,439.593307,0.081955
345,440.090971,0.0794289
346,440.588612,0.0813797
347,441.086232,0.0848917
348,441.583831,0.0860343
349,442.081407,0.0815554
350,442.578962,0.0826788
351,443.076494,0.0831693
352,443.574005,0.085435
353,444.071494,0.086424
354,444.568961,0.0784108
355,445.066407,0.0817461
356,445.56383,0.0828177
357,446.061231,0.0803435
358,446.55861,0.0811805
359,447.055967,0.0836086
360,447.553301,0.0893259
361,448.050614,0.0868486
362,448.547904,0.0855772
363,449.045173,0.0844346
364,449.542419,0.0871212
365,450.039642,0.0869929
366,450.536844,0.0862306
367,451.034023,0.091661
368,451.531179,0.0887952
369,452.028314,0.0877167
370,452.525425,0.087353
371,453.022515,0.089565
372,453.519582,0.0849251
373,454.016626,0.0883675
374,454.513648,0.0900136
375,455.010647,0.0899116
376,455.507623,0.089499
377,456.004577,0.0907028
378,456.501508,0.0882887
379,456.998417,0.0937688
380,457.495303,0.0949745
381,457.992166,0.0932525
382,458.489006,0.0930613
383,458.985823,0.0947246
384,459.482618,0.100477
385,459.979389,0.101405
386,460.476138,0.102243
387,460.972864,0.0975722
388,461.469566,0.0979099
389,461.966246,0.10326
390,462.462903,0.102196
391,462.959536,0.105366
392,463.456147,0.105312
393,463.952734,0.104254
394,464.449298,0.107527
395,464.945839,0.107124
396,465.442356,0.1085
397,465.938851,0.108118
398,466.435322,0.111398
399,466.93177,0.113855
400,467.428194,0.117302
401,467.924595,0.113646
402,468.420973,0.11045
403,468.917327,0.115195
404,469.413657,0.119221
405,469.909964,0.117661
406,470.406248,0.120534
407,470.902508,0.116958
408,471.398744,0.121246
409,471.894957,0.121781
410,472.391146,0.122501
411,472.887312,0.123331
412,473.383453,0.123066
413,473.879571,0.130429
414,474.375665,0.127943
415,474.871735,0.126639
416,475.367782,0.129642
417,475.863804,0.126339
418,476.359803,0.125646
419,476.855777,0.128637
420,477.351728,0.126712
421,477.847655,0.126217
422,478.343557,0.132049
423,478.839436,0.129927
424,479.33529,0.133552
425,479.831121,0.134816
426,480.326927,0.130098
