pixel,intensity,reference_wavelength,reference_intensity,calibrated_wavelength,calibrated_intensity
0,0.062531478703022,427.586589,0.023345923271748465,427.586589,0.062531478703022
1,0.06248589605093002,427.742027,0.023534005643858703,427.742027,0.06248589605093002
2,0.0625242218375206,427.897581,0.023722228377754118,427.897581,0.0625242218375206
3,0.06248289346694946,428.053252,0.02391059268345008,428.053252,0.06248289346694946
4,0.06265273690223694,428.209039,0.024099097350931284,428.209039,0.06265273690223694
5,0.06274908035993576,428.364942,0.02428774238019759,428.364942,0.06274908035993576
6,0.0626760944724083,428.520961,0.024476527771249132,428.520961,0.0626760944724083
7,0.06256109476089478,428.677097,0.02466545473410123,428.677097,0.06256109476089478
8,0.0617830790579319,428.83335,0.024854523268753884,428.83335,0.0617830790579319
9,0.060972630977630615,428.989719,0.025043732165191707,428.989719,0.060972630977630615
10,0.06305786222219467,429.146206,0.025233083843445542,429.146206,0.06305786222219467
11,0.06334585696458817,429.302809,0.025422575883484545,429.302809,0.06334585696458817
12,0.06329035758972168,429.45953,0.025612210705339422,429.45953,0.06329035758972168
13,0.06277832388877869,429.616369,0.02580198830901038,429.616369,0.06277832388877869
14,0.06327201426029205,429.773325,0.025991907484481824,429.773325,0.06327201426029205
15,0.06246083974838257,429.930398,0.026181968231753894,429.930398,0.06246083974838257
16,0.062365587800741196,430.087589,0.03331541873478713,430.087589,0.062365587800741196
17,0.0621228963136673,430.244899,0.04597585018715396,430.244899,0.0621228963136673
18,0.06174648925662041,430.402326,0.05864569789074768,430.402326,0.06174648925662041
19,0.06180080771446228,430.559871,0.07132504232633864,430.559871,0.06180080771446228
20,0.0623004212975502,430.717535,0.0840139639747155,430.717535,0.0623004212975502
21,0.06276334077119827,430.875317,0.09671238235509416,430.875317,0.06276334077119827
22,0.06284039467573166,431.033218,0.10942037794825411,431.033218,0.06284039467573166
23,0.06227870285511017,431.191238,0.12213795075419995,431.191238,0.06227870285511017
24,0.06211676821112633,431.349376,0.13486502029214759,431.349376,0.06211676821112633
25,0.06220918521285057,431.507634,0.147601747523656,431.507634,0.06220918521285057
26,0.062034741044044495,431.666011,0.16034805196795035,431.666011,0.062034741044044495
27,0.06165878102183342,431.824507,0.17310393362502138,431.824507,0.06165878102183342
28,0.06153703108429909,431.983122,0.18586939249487827,431.983122,0.06153703108429909
29,0.061746492981910706,432.141857,0.19864450905830053,432.141857,0.061746492981910706
30,0.06169218569993973,432.300712,0.21142928331527902,432.300712,0.06169218569993973
31,0.06274334341287613,432.459686,0.22422363478504337,432.459686,0.06274334341287613
32,0.06298419833183289,432.618781,0.23702772442915254,432.618781,0.06298419833183289
33,0.06325932592153549,432.777996,0.24984147176681792,432.777996,0.06325932592153549
34,0.06318670511245728,432.937331,0.26266487679804873,432.937331,0.06318670511245728
35,0.06241550296545029,433.096786,0.27549793952284485,433.096786,0.06241550296545029
36,0.062365591526031494,433.256362,0.2883407404219812,433.256362,0.062365591526031494
37,0.06348715722560883,433.416058,0.30119319901467834,433.416058,0.06348715722560883
38,0.062322672456502914,433.575876,0.31405547626249525,433.575876,0.062322672456502914
39,0.061990875750780106,433.735814,0.3269274112038775,433.735814,0.061990875750780106
40,0.06229451298713684,433.895874,0.33980916480037954,433.895874,0.06229451298713684
41,0.06311502307653427,434.056055,0.35270065657122635,434.056055,0.06311502307653427
42,0.06337570399045944,434.216357,0.36560188651641345,434.216357,0.06337570399045944
43,0.06303175538778305,434.37678,0.3785128546359408,434.37678,0.06303175538778305
44,0.06251733005046844,434.537326,0.391433721891372,434.537326,0.06251733005046844
45,0.06283830106258392,434.697993,0.40436432732114347,434.697993,0.06283830106258392
46,0.06229449808597565,434.858782,0.41730475140603923,434.858782,0.06229449808597565
47,0.06246945261955261,435.019693,0.42744086708017354,435.019693,0.06246945261955261
