pixel,intensity,reference_wavelength,reference_intensity,calibrated_wavelength,calibrated_intensity
0,0.06565656512975693,266.987682,0.0,266.987682,0.06565656512975693
1,0.06565464287996292,267.488727,0.0,267.488727,0.06565464287996292
2,0.06539075076580048,267.989773,0.0,267.989773,0.06539075076580048
3,0.0654757097363472,268.490818,0.0,268.490818,0.0654757097363472
4,0.06399928778409958,268.991864,0.0,268.991864,0.06399928778409958
5,0.0649225190281868,269.492909,0.0,269.492909,0.0649225190281868
6,0.06510601192712784,269.993955,0.0,269.993955,0.06510601192712784
7,0.06879943609237671,270.495,0.0,270.495,0.06879943609237671
8,0.06594051420688629,270.996045,0.0,270.996045,0.06594051420688629
9,0.0644850954413414,271.497091,0.0,271.497091,0.0644850954413414
10,0.06511635333299637,271.998136,0.0,271.998136,0.06511635333299637
11,0.06519287079572678,272.499182,0.0,272.499182,0.06519287079572678
12,0.06483662873506546,273.000227,0.0,273.000227,0.06483662873506546
13,0.066131591796875,273.501273,0.0,273.501273,0.066131591796875
14,0.0670270100235939,274.002318,0.0,274.002318,0.0670270100235939
15,0.06676709651947021,274.503364,0.0,274.503364,0.06676709651947021
16,0.06394392251968384,275.004409,0.0,275.004409,0.06394392251968384
17,0.06409826129674911,275.505455,0.0,275.505455,0.06409826129674911
18,0.06489516794681549,276.0065,0.0,276.0065,0.06489516794681549
19,0.06710867583751678,276.507545,0.0,276.507545,0.06710867583751678
20,0.0668230652809143,277.008591,0.0,277.008591,0.0668230652809143
21,0.06410779803991318,277.509636,0.0,277.509636,0.06410779803991318
22,0.0636121928691864,278.010682,0.0,278.010682,0.0636121928691864
23,0.0667155385017395,278.511727,0.0,278.511727,0.0667155385017395
24,0.06473828852176666,279.012773,0.0,279.012773,0.06473828852176666
25,0.06580561399459839,279.513818,0.0,279.513818,0.06580561399459839
26,0.06731835007667542,280.014864,0.0,280.014864,0.06731835007667542
27,0.06592809408903122,280.515909,0.0,280.515909,0.06592809408903122
28,0.06359218060970306,281.016955,0.0,281.016955,0.06359218060970306
29,0.06295675784349442,281.518,0.0,281.518,0.06295675784349442
30,0.0638028159737587,282.019045,0.0,282.019045,0.0638028159737587
31,0.06371406465768814,282.520091,0.0,282.520091,0.06371406465768814
32,0.06400293856859207,283.021136,0.0,283.021136,0.06400293856859207
33,0.06474170833826065,283.522182,0.0,283.522182,0.06474170833826065
